name,artists,id
Oxy Cotton,['Lil Wyte'],5PtMwNq8Dp31uYdGGacVJE
This City,['Sam Fischer'],3H3r2nKWa3Yk5gt8xgmsEt
Rodeo,"['Lil Nas X', 'Cardi B']",4ak7xjvBeBOcJGWFDX9w5n
Girls In Bikinis,['Bok Van Blerk'],6ADblRa8kJFcvfy5QgskRd
Bring Down the House,['Dean Brody'],2BV4fgvEXXyz8InS03OS6P
Talk You Out Of It,['Florida Georgia Line'],4qQwGRtGT7l6ckQtdPEFd4
Wild At Heart,['David'],4CoDPSLx5Qpl8xyteX6ljC
See You Again,['Miley Cyrus'],3utIAb67sOu0QHxBE88P1M
Boston,['Dermot Kennedy'],51qWzz8tfP9AK7q4b9JxP8
Soulmate,['Kahitna'],0FO12KD8xommTnYK9xqLY8
Best I Ever Had,['Gavin DeGraw'],2bN0VoXCagktb6yAi9942I
Who Are You When I'm Not Looking,['Blake Shelton'],15fZHvjZXoAILTvmt4EXIk
